ab1,ab2,weight
1912,3061,0.261149633933437
1912,5598,0.244850618746321
1912,1117,0.240980210752425
44,1207,0.571680557528927
44,3138,0.266537053843908
44,1111,0.260681383616518
2877,2883,0.26835550475758
2877,5008,0.280841454679745
2877,2739,0.245575915803523
4222,2004,0.269176869507567
4222,1191,0.282047860316389
905,5607,0.268076480524825
905,702,0.241944348151651
5651,5483,0.243190076047409
5651,1137,0.242107833731378
5651,915,0.247740650838232
5651,937,0.270862271336749
5651,4748,0.240388246069554
5651,5245,0.266154562339219
5651,3402,0.280344482949094
5651,952,0.260176862772177
2731,2722,0.242881448023267
2731,2883,0.332386138965996
2731,1028,0.245075443408319
2731,5545,0.247546241109608
2731,1435,0.28750512079611
2731,5582,0.278560250926128
2731,5018,0.25886023301841
2346,5206,0.256761974919807
2346,4386,0.247122850000287
2346,4447,0.244334033544277
2346,1077,0.248957631346619
2346,3396,0.243528992889499
2346,5607,0.331434853691326
2346,1028,0.240272662520414
2346,915,0.269473018902397
2346,3387,0.279258205877099
2346,3296,0.246185861208986
2346,2345,0.278531113728026
2346,5582,0.261988265802468
2346,2902,0.240490473413906
2346,3047,0.315873913689462
2346,3388,0.295239593642977
2346,2438,0.28175723831108
2346,3402,0.28369721730155
4914,2883,0.246217207770654
2736,2067,0.292018230779226
5483,1028,0.26706353392503
5483,497,0.243420574985898
5483,1039,0.286101004109656
5483,605,0.251993357615447
5483,4748,0.302230972619889
1116,807,0.257102871462019
1116,1117,0.241251536394592
5206,4386,0.264310047979218
5206,2883,0.294442584293788
5206,5607,0.278927042147544
5206,1391,0.251044555698039
5206,4315,0.272261020521462
5206,4382,0.275834411146615
5206,1435,0.24045471987061
5206,3047,0.255138694109064
5206,5258,0.247157813467081
5206,4400,0.246088548402164
2722,2739,0.249911408269085
1474,5387,0.276528442324007
5567,4386,0.275952543023961
5567,2729,0.264547153324223
5567,2883,0.241236888243948
5567,4105,0.246303969874747
5567,5258,0.253174744279558
1203,2387,0.260945480678419
5259,4447,0.295740097753783
5259,2443,0.285665580754599
5259,1037,0.245641825637328
5259,1137,0.265620745522097
